package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
var      	 VAR
x        	 IDENT
int32    	 INT
=        	 ASSIGN
3        	 INT_LIT
         	 NEWLINE
var      	 VAR
y        	 IDENT
int32    	 INT
=        	 ASSIGN
2        	 INT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
+        	 ADD
y        	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
-        	 SUB
y        	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
*        	 MUL
y        	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
/        	 QUO
y        	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
%        	 REM
y        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
++       	 INC
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
--       	 DEC
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
         	 NEWLINE
var      	 VAR
xx       	 IDENT
float32  	 FLOAT
=        	 ASSIGN
3.1      	 FLOAT_LIT
         	 NEWLINE
var      	 VAR
yy       	 IDENT
float32  	 FLOAT
=        	 ASSIGN
2.1      	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
+        	 ADD
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
-        	 SUB
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
*        	 MUL
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
/        	 QUO
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
xx       	 IDENT
++       	 INC
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
)        	 RPAREN
         	 NEWLINE
xx       	 IDENT
--       	 DEC
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
xx       	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 26
comment line: 0
