package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
3        	 INT_LIT
-        	 SUB
4        	 INT_LIT
*        	 MUL
(        	 LPAREN
+        	 ADD
5        	 INT_LIT
+        	 ADD
-        	 SUB
8        	 INT_LIT
)        	 RPAREN
-        	 SUB
10       	 INT_LIT
/        	 QUO
7        	 INT_LIT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
3        	 INT_LIT
-        	 SUB
4        	 INT_LIT
*        	 MUL
(        	 LPAREN
+        	 ADD
5        	 INT_LIT
+        	 ADD
-        	 SUB
8        	 INT_LIT
)        	 RPAREN
-        	 SUB
10       	 INT_LIT
/        	 QUO
7        	 INT_LIT
>        	 GTR
-        	 SUB
4        	 INT_LIT
%        	 REM
3        	 INT_LIT
||       	 LOR
!        	 NOT
true     	 TRUE
&&       	 LAND
!        	 NOT
!        	 NOT
false    	 FALSE
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
3.0      	 FLOAT_LIT
-        	 SUB
4.0      	 FLOAT_LIT
*        	 MUL
(        	 LPAREN
+        	 ADD
5.0      	 FLOAT_LIT
+        	 ADD
-        	 SUB
8.0      	 FLOAT_LIT
)        	 RPAREN
-        	 SUB
10.0     	 FLOAT_LIT
/        	 QUO
7.0      	 FLOAT_LIT
)        	 RPAREN
         	 NEWLINE
print    	 PRINT
(        	 LPAREN
3.0      	 FLOAT_LIT
-        	 SUB
4.0      	 FLOAT_LIT
*        	 MUL
(        	 LPAREN
+        	 ADD
5.0      	 FLOAT_LIT
+        	 ADD
-        	 SUB
8.0      	 FLOAT_LIT
)        	 RPAREN
-        	 SUB
10.0     	 FLOAT_LIT
/        	 QUO
7.0      	 FLOAT_LIT
>        	 GTR
-        	 SUB
4.0      	 FLOAT_LIT
||       	 LOR
!        	 NOT
true     	 TRUE
&&       	 LAND
!        	 NOT
!        	 NOT
false    	 FALSE
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 8
comment line: 0
