package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
var      	 VAR
height   	 IDENT
int32    	 INT
=        	 ASSIGN
99       	 INT_LIT
         	 NEWLINE
{        	 LBRACE
         	 NEWLINE
var      	 VAR
width    	 IDENT
float32  	 FLOAT
=        	 ASSIGN
3.14     	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
width    	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
height   	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
var      	 VAR
length   	 IDENT
float32  	 FLOAT
         	 NEWLINE
{        	 LBRACE
         	 NEWLINE
var      	 VAR
length   	 IDENT
string   	 STRING
=        	 ASSIGN
"        	 QUOTA
hello world 	 STRING_LIT
"        	 QUOTA
         	 NEWLINE
{        	 LBRACE
         	 NEWLINE
var      	 VAR
length   	 IDENT
bool     	 BOOL
=        	 ASSIGN
true     	 TRUE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
length   	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
length   	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
length   	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 20
comment line: 0
