package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
var      	 VAR
x        	 IDENT
int32    	 INT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
=        	 ASSIGN
10       	 INT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
+=       	 ADD_ASSIGN
2        	 INT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
-=       	 SUB_ASSIGN
3        	 INT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
*=       	 MUL_ASSIGN
4        	 INT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
/=       	 QUO_ASSIGN
5        	 INT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
x        	 IDENT
%=       	 REM_ASSIGN
6        	 INT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
         	 NEWLINE
         	 NEWLINE
var      	 VAR
yy       	 IDENT
float32  	 FLOAT
=        	 ASSIGN
3.14     	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
yy       	 IDENT
=        	 ASSIGN
10.4     	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
yy       	 IDENT
+=       	 ADD_ASSIGN
2.0      	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
yy       	 IDENT
-=       	 SUB_ASSIGN
3.0      	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
yy       	 IDENT
*=       	 MUL_ASSIGN
4.0      	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
yy       	 IDENT
/=       	 QUO_ASSIGN
5.0      	 FLOAT_LIT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
yy       	 IDENT
)        	 RPAREN
         	 NEWLINE
         	 NEWLINE
var      	 VAR
s        	 IDENT
string   	 STRING
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
s        	 IDENT
)        	 RPAREN
         	 NEWLINE
s        	 IDENT
=        	 ASSIGN
"        	 QUOTA
Hello    	 STRING_LIT
"        	 QUOTA
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
s        	 IDENT
)        	 RPAREN
         	 NEWLINE
         	 NEWLINE
var      	 VAR
bbb      	 IDENT
bool     	 BOOL
=        	 ASSIGN
false    	 FALSE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
bbb      	 IDENT
)        	 RPAREN
         	 NEWLINE
bbb      	 IDENT
=        	 ASSIGN
true     	 TRUE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
bbb      	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 41
comment line: 0
