package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
var      	 VAR
x        	 IDENT
int32    	 INT
=        	 ASSIGN
3        	 INT_LIT
         	 NEWLINE
var      	 VAR
y        	 IDENT
float32  	 FLOAT
=        	 ASSIGN
3.14     	 FLOAT_LIT
         	 NEWLINE
var      	 VAR
z1       	 IDENT
int32    	 INT
         	 NEWLINE
var      	 VAR
z2       	 IDENT
float32  	 FLOAT
         	 NEWLINE
z1       	 IDENT
=        	 ASSIGN
x        	 IDENT
+        	 ADD
int32    	 INT
(        	 LPAREN
y        	 IDENT
)        	 RPAREN
         	 NEWLINE
z2       	 IDENT
=        	 ASSIGN
float32  	 FLOAT
(        	 LPAREN
x        	 IDENT
)        	 RPAREN
+        	 ADD
y        	 IDENT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z1       	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z2       	 IDENT
)        	 RPAREN
         	 NEWLINE
z1       	 IDENT
=        	 ASSIGN
x        	 IDENT
+        	 ADD
int32    	 INT
(        	 LPAREN
6.28     	 FLOAT_LIT
)        	 RPAREN
         	 NEWLINE
z2       	 IDENT
=        	 ASSIGN
float32  	 FLOAT
(        	 LPAREN
6        	 INT_LIT
)        	 RPAREN
+        	 ADD
y        	 IDENT
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z1       	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z2       	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 16
comment line: 0
