package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
var      	 VAR
x        	 IDENT
int32    	 INT
         	 NEWLINE
         	 NEWLINE
var      	 VAR
z        	 IDENT
float32  	 FLOAT
         	 NEWLINE
var      	 VAR
x        	 IDENT
int32    	 INT
         	 NEWLINE
y        	 IDENT
=        	 ASSIGN
8        	 INT_LIT
         	 NEWLINE
8        	 INT_LIT
+=       	 ADD_ASSIGN
x        	 IDENT
         	 NEWLINE
         	 NEWLINE
var      	 VAR
z        	 IDENT
int32    	 INT
         	 NEWLINE
         	 NEWLINE
if       	 IF
gg       	 IDENT
>        	 GTR
0        	 INT_LIT
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
gg       	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 16
comment line: 0
