package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
foo      	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
foo      	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
return   	 RETURN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
bar      	 IDENT
(        	 LPAREN
x        	 IDENT
int32    	 INT
,        	 COMMA
y        	 IDENT
float32  	 FLOAT
,        	 COMMA
g        	 IDENT
int32    	 INT
)        	 RPAREN
int32    	 INT
{        	 LBRACE
         	 NEWLINE
var      	 VAR
z        	 IDENT
int32    	 INT
=        	 ASSIGN
x        	 IDENT
+        	 ADD
int32    	 INT
(        	 LPAREN
y        	 IDENT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
z        	 IDENT
)        	 RPAREN
         	 NEWLINE
return   	 RETURN
z        	 IDENT
+        	 ADD
2        	 INT_LIT
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
foo      	 IDENT
(        	 LPAREN
)        	 RPAREN
         	 NEWLINE
foo      	 IDENT
(        	 LPAREN
)        	 RPAREN
         	 NEWLINE
var      	 VAR
x        	 IDENT
int32    	 INT
=        	 ASSIGN
88       	 INT_LIT
         	 NEWLINE
var      	 VAR
result   	 IDENT
int32    	 INT
=        	 ASSIGN
bar      	 IDENT
(        	 LPAREN
x        	 IDENT
,        	 COMMA
11.6     	 FLOAT_LIT
,        	 COMMA
8        	 INT_LIT
)        	 RPAREN
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
result   	 IDENT
)        	 RPAREN
         	 NEWLINE
foo      	 IDENT
(        	 LPAREN
)        	 RPAREN
         	 NEWLINE
return   	 RETURN
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 22
comment line: 0
