package  	 PACKAGE
main     	 IDENT
         	 NEWLINE
         	 NEWLINE
func     	 FUNC
main     	 IDENT
(        	 LPAREN
)        	 RPAREN
{        	 LBRACE
         	 NEWLINE
var      	 VAR
num      	 IDENT
int32    	 INT
=        	 ASSIGN
11       	 INT_LIT
         	 NEWLINE
         	 NEWLINE
switch   	 SWITCH
num      	 IDENT
{        	 LBRACE
         	 NEWLINE
case     	 CASE
0        	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
A        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
case     	 CASE
1        	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
B        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
case     	 CASE
2        	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
C        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
case     	 CASE
3        	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
D        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
default  	 DEFAULT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
num      	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
         	 NEWLINE
switch   	 SWITCH
num      	 IDENT
{        	 LBRACE
         	 NEWLINE
case     	 CASE
10       	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
A        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
case     	 CASE
11       	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
B        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
case     	 CASE
12       	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
C        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
case     	 CASE
13       	 INT_LIT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
"        	 QUOTA
D        	 STRING_LIT
"        	 QUOTA
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
default  	 DEFAULT
:        	 COLON
{        	 LBRACE
         	 NEWLINE
println  	 PRINTLN
(        	 LPAREN
num      	 IDENT
)        	 RPAREN
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE
         	 NEWLINE
}        	 RBRACE

Finish scanning,
total line: 41
comment line: 0
