999 109333064
109333064 left 631682716
109333064 right 856145460
631682716 left 630144589
631682716 right 255684158
630144589 left 305819995
630144589 right 350093189
305819995 left 700388166
305819995 right 169309244
700388166 left 306452324
700388166 right 825092680
306452324 left 244725771
306452324 right 841512964
244725771 left 605210780
244725771 right 804246358
605210780 left 695648668
605210780 right 845709025
695648668 right 502383492
502383492 left 593650762
502383492 right 410945609
845709025 right 206934499
206934499 right 52560625
804246358 right 463079087
463079087 right 517393153
517393153 right 917053993
841512964 left 291965022
841512964 right 869861283
291965022 left 561314646
291965022 right 577896261
561314646 left 120440490
561314646 right 777437317
120440490 left 937861383
120440490 right 486026403
937861383 right 578167622
486026403 left 437350747
486026403 right 932193517
932193517 right 350792366
350792366 left 913740107
350792366 right 753497710
753497710 right 599082359
777437317 right 238243261
238243261 right 725325815
725325815 right 185521417
577896261 right 879550733
869861283 left 126484567
869861283 right 173311334
173311334 left 246925057
173311334 right 608365193
825092680 left 449715472
825092680 right 9108920
449715472 right 52302492
52302492 left 234425342
52302492 right 403094858
403094858 right 148165449
9108920 right 961376582
961376582 right 784273095
169309244 left 147359520
169309244 right 923371411
147359520 left 312979309
147359520 right 504616146
312979309 left 792621210
312979309 right 774372135
792621210 right 47425307
47425307 left 503797861
47425307 right 958599646
503797861 left 220736641
503797861 right 184425710
184425710 left 843639867
184425710 right 117563327
958599646 right 169865819
774372135 left 869248326
774372135 right 594307037
869248326 right 434585950
434585950 left 843121087
434585950 right 71375397
71375397 left 594431164
71375397 right 119868535
594307037 right 859478583
859478583 right 907286346
504616146 left 92009278
504616146 right 409944746
92009278 left 965073645
92009278 right 899832731
965073645 left 165262271
965073645 right 929753052
929753052 right 349687982
899832731 left 836345517
899832731 right 949541328
409944746 left 347691932
409944746 right 16085065
347691932 left 860579820
347691932 right 421778028
860579820 right 974830511
974830511 right 811139112
421778028 right 931007647
16085065 right 798027594
923371411 left 721705172
923371411 right 781728379
721705172 left 237163547
721705172 right 54753544
54753544 left 440212558
54753544 right 641556749
440212558 left 154603800
440212558 right 253410415
154603800 left 736855679
154603800 right 380695567
736855679 right 990949317
253410415 right 6762514
6762514 right 385119839
641556749 left 359950351
641556749 right 481360667
781728379 left 852820472
781728379 right 397693723
852820472 left 426217559
852820472 right 644131022
426217559 right 758040177
397693723 right 642074470
350093189 left 555157599
350093189 right 527093177
555157599 left 365957619
555157599 right 909578664
365957619 left 348162658
365957619 right 437957768
348162658 left 951083860
348162658 right 492164014
951083860 left 556294921
951083860 right 89289521
556294921 left 986692913
556294921 right 785793685
986692913 left 451919476
986692913 right 924055908
451919476 left 560393495
451919476 right 279924885
560393495 right 833404347
833404347 right 357499035
357499035 right 483734143
279924885 right 909951702
924055908 left 748957027
924055908 right 899201895
748957027 right 143983810
143983810 left 500933758
143983810 right 456263558
456263558 left 843671040
456263558 right 457633979
843671040 left 466060916
843671040 right 111031994
466060916 right 647271252
457633979 left 101388666
457633979 right 81523771
101388666 left 149400875
101388666 right 982805222
149400875 right 661782162
982805222 right 771731053
771731053 right 319055717
81523771 left 431546754
81523771 right 507372931
507372931 left 246874929
507372931 right 467216416
246874929 right 747808687
747808687 left 55530855
747808687 right 440850259
785793685 left 61341174
785793685 right 488964482
61341174 left 856623479
61341174 right 242089553
856623479 left 762054541
856623479 right 615929731
762054541 right 160983308
160983308 left 276353055
160983308 right 885441657
615929731 left 167876951
615929731 right 249400722
167876951 right 548729534
249400722 right 980276288
488964482 right 113163098
89289521 left 291249734
89289521 right 855481849
291249734 right 241558914
241558914 left 194815974
241558914 right 466885348
855481849 left 314482521
855481849 right 324287063
314482521 left 794718466
314482521 right 598922150
794718466 right 327982181
324287063 right 67368234
492164014 left 616097768
492164014 right 594081088
594081088 left 448890408
594081088 right 203371093
203371093 left 169050543
203371093 right 337744497
169050543 right 165102655
337744497 right 390625442
390625442 right 258156697
437957768 left 853327743
437957768 right 456134008
853327743 left 753583576
853327743 right 655200792
753583576 left 616008713
753583576 right 750913217
616008713 left 400818394
616008713 right 67447215
67447215 left 525112212
67447215 right 975860408
